x,y,gene,cell_truth,is_noise_truth
35.746893,110.016547,Ttr,42,false
8.989970,102.414906,Pdgfra,41,false
70.720881,51.261216,Slc17a7,20,false
108.224866,89.319342,Slc17a7,38,false
110.107761,102.687924,Gad1,46,false
85.416195,126.246803,Sox10,53,false
129.809683,12.014981,Ttr,7,false
87.736764,105.707244,Ttr,45,false
89.648881,10.440628,Slc17a7,5,false
15.619718,80.517853,Sox10,0,true
107.515915,31.099162,Slc17a7,14,false
45.659557,48.270892,Gad1,19,false
34.817401,103.627931,Aldoc,42,false
120.509501,35.060042,Gad1,0,true
84.589144,128.667305,Slc17a7,53,false
135.920417,35.040616,Aldoc,0,true
129.766349,53.448621,Pdgfra,23,false
12.613041,62.171332,Gad1,25,false
65.707010,13.521679,Ttr,4,false
65.017621,146.096631,Sox10,0,true
82.954956,100.840611,Aldoc,0,true
89.646491,89.333855,Gad1,37,false
145.627931,9.624271,Aldoc,8,false
45.493833,108.369611,Gad1,43,false
67.276187,72.338007,Gad1,28,false
49.975496,51.178945,Gad1,19,false
15.359145,99.072038,Aldoc,41,false
127.015761,29.347831,Aldoc,15,false
142.735776,11.744517,Slc17a7,8,false
70.146431,142.658831,Pdgfra,60,false
7.929307,47.548708,Ttr,17,false
46.835292,109.873665,Gad1,43,false
26.466783,13.983015,Slc17a7,2,false
144.133004,13.861494,Slc17a7,8,false
33.148206,91.764754,Gad1,34,false
17.094300,145.191307,Aldoc,57,false
34.490882,72.254325,Slc17a7,26,false
84.108674,15.157527,Slc17a7,5,false
80.763364,58.622961,Pdgfra,0,true
29.245221,72.591740,Slc17a7,26,false
123.553555,48.218919,Gad1,23,false
89.617613,86.996942,Gad1,37,false
125.201675,123.509202,Sox10,55,false
29.934787,30.386268,Aldoc,10,false
129.198208,67.335932,Gad1,31,false
95.519333,7.826685,Slc17a7,0,true
73.560188,146.570174,Ttr,60,false
51.454569,67.688185,Sox10,27,false
91.626002,31.132547,Ttr,13,false
71.988778,75.041109,Gad1,0,true
69.995837,107.367437,Gad1,44,false
131.093278,127.187590,Aldoc,55,false
66.254846,145.971899,Sox10,60,false
129.987116,86.783587,Aldoc,39,false
48.836860,87.160102,Slc17a7,0,true
103.344589,19.241426,Gad1,6,false
141.431719,84.567741,Gad1,40,false
103.234038,125.612739,Aldoc,54,false
128.586006,63.004806,Aldoc,0,true
10.543707,127.162827,Gad1,49,false
49.981775,49.123299,Ttr,19,false
52.694627,10.703571,Aldoc,3,false
67.584907,13.705740,Gad1,4,false
13.474229,27.043556,Aldoc,9,false
11.291849,28.224751,Sox10,9,false
85.782758,123.614779,Sox10,53,false
105.895754,105.581941,Gad1,46,false
68.648529,108.328253,Slc17a7,44,false
33.659331,144.010626,Gad1,58,false
65.238555,107.090274,Sox10,44,false
83.824755,50.084058,Sox10,21,false
102.675117,71.237871,Slc17a7,30,false
49.643052,11.798721,Ttr,3,false
142.500129,32.270293,Ttr,0,true
108.644429,6.166523,Pdgfra,0,true
31.787638,67.944089,Slc17a7,26,false
127.434411,32.118578,Sox10,15,false
50.149056,89.123452,Slc17a7,35,false
92.920891,106.085987,Pdgfra,45,false
82.859433,32.872663,Ttr,13,false
140.253930,89.131519,Slc17a7,40,false
82.056150,27.827096,Gad1,13,false
12.801922,10.444590,Gad1,1,false
12.838179,127.831574,Gad1,49,false
147.411187,90.699510,Gad1,40,false
73.826118,143.064112,Gad1,60,false
48.252131,13.173390,Gad1,3,false
7.869963,13.560807,Slc17a7,1,false
143.914051,35.192190,Aldoc,16,false
68.562802,67.795419,Ttr,28,false
47.982836,147.140849,Slc17a7,59,false
123.581418,11.439049,Gad1,7,false
88.716473,66.034523,Pdgfra,29,false
36.458172,144.154076,Aldoc,58,false
15.268093,121.390578,Sox10,49,false
90.310239,73.134355,Pdgfra,29,false
15.849722,34.899857,Aldoc,9,false
24.484144,15.107052,Slc17a7,2,false
6.266056,133.727500,Ttr,0,true
109.689766,111.077859,Gad1,46,false
65.932418,92.950849,Aldoc,36,false
48.162229,146.916248,Slc17a7,59,false
148.566659,46.608229,Aldoc,24,false
145.760440,92.332555,Ttr,40,false
67.377697,67.563166,Aldoc,28,false
10.507646,125.083870,Gad1,49,false
129.333250,69.589739,Gad1,31,false
83.917860,109.041905,Aldoc,45,false
134.299523,83.566863,Sox10,0,true
103.713586,49.368823,Gad1,22,false
92.421759,89.878252,Gad1,37,false
9.567361,50.623301,Ttr,0,true
45.892935,122.888600,Gad1,0,true
27.069635,10.929114,Pdgfra,2,false
31.230665,11.165791,Pdgfra,2,false
108.625693,51.938406,Ttr,22,false
124.432088,52.380705,Slc17a7,23,false
89.094684,66.810805,Ttr,29,false
52.365549,9.534875,Sox10,3,false
105.107511,88.219135,Slc17a7,38,false
105.973637,66.661269,Slc17a7,30,false
66.500905,126.919012,Gad1,52,false
106.313940,73.566337,Pdgfra,30,false
105.412069,87.506608,Gad1,38,false
91.439593,13.029197,Gad1,5,false
84.848721,77.013405,Gad1,0,true
127.278055,86.976110,Ttr,39,false
147.687490,126.344326,Slc17a7,56,false
11.006702,91.116766,Aldoc,33,false
15.810693,91.057681,Ttr,33,false
144.527887,127.433746,Slc17a7,56,false
88.247274,51.045971,Pdgfra,21,false
69.122333,124.428784,Ttr,52,false
67.212277,72.699098,Gad1,28,false
30.262701,28.376431,Gad1,10,false
11.261252,51.678011,Slc17a7,17,false
147.039449,34.118611,Gad1,16,false
135.653986,95.309953,Slc17a7,0,true
34.950681,74.817344,Slc17a7,26,false
13.708245,88.297940,Aldoc,33,false
105.757336,83.772417,Ttr,38,false
126.341625,14.803808,Gad1,7,false
8.877815,52.287820,Slc17a7,17,false
106.591029,49.920865,Pdgfra,22,false
71.542530,49.087346,Aldoc,20,false
146.248354,10.342918,Slc17a7,8,false
48.344703,101.886097,Gad1,43,false
88.474007,34.586939,Slc17a7,13,false
30.528283,109.806608,Aldoc,42,false
86.770654,48.289962,Ttr,21,false
143.166839,87.991078,Gad1,40,false
51.059183,62.274459,Aldoc,27,false
84.909980,92.650114,Gad1,37,false
15.902930,83.573309,Slc17a7,0,true
64.144637,106.111850,Slc17a7,44,false
126.296778,108.604568,Slc17a7,47,false
51.420341,144.823425,Ttr,59,false
49.651427,8.951082,Ttr,3,false
106.171995,69.896884,Aldoc,30,false
9.640698,128.524550,Slc17a7,49,false
88.278973,48.145172,Aldoc,21,false
105.619969,30.878048,Slc17a7,14,false
51.755216,63.184412,Slc17a7,27,false
88.197063,50.474381,Sox10,21,false
144.836382,123.693217,Sox10,56,false
109.045184,9.739759,Aldoc,6,false
47.166717,146.377465,Ttr,59,false
143.767691,31.852750,Slc17a7,16,false
15.146419,83.614397,Pdgfra,33,false
67.109184,65.483428,Gad1,28,false
104.385602,150.824349,Sox10,0,true
46.578441,30.084247,Sox10,11,false
123.977263,88.941052,Gad1,39,false
107.335393,31.343663,Pdgfra,14,false
136.841362,18.631978,Ttr,0,true
124.506591,28.794602,Aldoc,15,false
70.298120,129.666112,Gad1,52,false
13.105993,92.274945,Aldoc,33,false
106.008569,46.742344,Gad1,0,true
86.402795,8.735011,Slc17a7,5,false
116.727342,132.598526,Pdgfra,0,true
86.884252,26.328449,Sox10,13,false
88.593462,125.276303,Slc17a7,53,false
88.827101,88.647779,Gad1,37,false
67.465814,143.831644,Aldoc,60,false
26.759789,14.703602,Slc17a7,2,false
90.132427,87.350268,Sox10,37,false
51.330257,50.074662,Pdgfra,19,false
123.280050,126.448327,Gad1,55,false
146.111695,67.329312,Gad1,32,false
135.584033,107.426717,Gad1,0,true
122.114692,127.290396,Gad1,55,false
32.202854,68.242358,Slc17a7,26,false
28.530905,89.645698,Aldoc,34,false
11.655231,101.243192,Slc17a7,41,false
128.964748,24.665342,Pdgfra,0,true
130.032468,11.653988,Gad1,7,false
123.024149,34.884423,Gad1,15,false
34.423085,148.007167,Pdgfra,58,false
107.150101,123.057017,Aldoc,54,false
93.515006,129.050072,Ttr,0,true
50.299241,53.052357,Gad1,19,false
105.712204,69.924519,Gad1,30,false
32.648013,24.048141,Sox10,10,false
107.193914,32.035122,Sox10,14,false
87.381162,90.070067,Gad1,37,false
36.361248,104.742772,Slc17a7,0,true
51.180313,68.324752,Pdgfra,27,false
32.801987,109.468158,Slc17a7,42,false
51.190572,14.281172,Aldoc,3,false
110.641797,106.716841,Gad1,46,false
90.965187,86.969929,Gad1,37,false
68.420333,125.132800,Gad1,52,false
9.580461,48.860528,Aldoc,17,false
154.862518,91.957309,Gad1,0,true
128.096982,14.416009,Slc17a7,7,false
31.114750,70.869045,Gad1,26,false
10.376990,109.731063,Slc17a7,41,false
155.585537,144.105138,Pdgfra,0,true
86.616545,90.438525,Gad1,37,false
31.576092,14.103076,Slc17a7,2,false
89.487506,49.881243,Aldoc,21,false
49.239189,47.655523,Gad1,19,false
141.490458,66.541635,Slc17a7,32,false
109.707562,107.777570,Ttr,46,false
72.342744,140.520691,Ttr,60,false
126.992646,34.538435,Aldoc,15,false
51.093173,146.597473,Slc17a7,59,false
66.338817,5.935396,Gad1,4,false
105.421941,69.452084,Slc17a7,30,false
118.719397,60.679812,Ttr,0,true
48.269351,140.704178,Slc17a7,59,false
67.091695,9.620286,Gad1,4,false
66.627995,52.218897,Slc17a7,20,false
91.760652,92.136656,Ttr,37,false
69.330901,147.696811,Aldoc,60,false
88.556559,127.279730,Slc17a7,53,false
49.983560,10.951341,Aldoc,3,false
144.414117,137.048081,Sox10,0,true
126.541602,128.400545,Gad1,55,false
51.547602,119.065945,Aldoc,51,false
121.483968,85.622392,Aldoc,39,false
124.224531,71.112471,Gad1,31,false
123.335465,31.470499,Aldoc,15,false
98.978424,7.632175,Sox10,0,true
143.644511,105.876861,Aldoc,48,false
87.620418,121.612672,Slc17a7,53,false
11.001343,124.212640,Gad1,49,false
85.191130,66.188654,Slc17a7,29,false
85.035122,70.283383,Ttr,0,true
139.706327,88.384376,Gad1,40,false
9.791760,32.091390,Sox10,9,false
105.118237,124.765363,Aldoc,54,false
12.015914,77.640590,Ttr,0,true
84.519380,120.916785,Slc17a7,53,false
12.443895,47.309990,Slc17a7,17,false
102.600591,124.198406,Sox10,54,false
82.854825,88.706716,Ttr,37,false
12.706202,46.430764,Slc17a7,17,false
92.992406,69.903101,Slc17a7,29,false
49.908166,126.537335,Sox10,51,false
124.551123,69.455734,Pdgfra,31,false
31.483151,71.506763,Slc17a7,26,false
124.691736,10.305950,Sox10,7,false
105.550798,122.832250,Sox10,54,false
65.965673,102.733767,Slc17a7,44,false
5.944264,146.003528,Aldoc,57,false
141.411569,83.972354,Gad1,40,false
48.605137,71.317261,Aldoc,27,false
89.624597,69.056354,Slc17a7,29,false
48.938622,121.278636,Aldoc,51,false
10.357812,36.034008,Aldoc,0,true
102.518175,84.670687,Pdgfra,38,false
69.501627,109.867014,Slc17a7,44,false
14.980445,30.291592,Aldoc,9,false
29.107352,7.222967,Slc17a7,2,false
73.171039,48.784809,Pdgfra,0,true
141.745372,146.831546,Slc17a7,0,true
29.222246,106.303483,Aldoc,42,false
152.553997,82.922966,Sox10,0,true
69.598027,46.848547,Ttr,20,false
104.832561,69.557593,Sox10,30,false
106.025496,128.761061,Aldoc,54,false
32.192527,28.169047,Gad1,10,false
87.802499,92.479046,Gad1,37,false
49.620027,67.206527,Ttr,27,false
141.356658,69.587618,Slc17a7,32,false
52.206474,67.103218,Ttr,27,false
20.451390,3.178674,Ttr,0,true
31.091836,143.347078,Gad1,58,false
12.607487,143.272830,Gad1,0,true
86.267812,8.886466,Slc17a7,5,false
129.052567,11.824996,Gad1,7,false
27.381248,88.505233,Slc17a7,34,false
50.000328,121.878075,Aldoc,51,false
51.743161,54.066005,Pdgfra,19,false
21.318401,103.354649,Ttr,41,false
90.354848,138.276214,Gad1,0,true
146.403910,13.504482,Slc17a7,8,false
137.836705,81.730332,Slc17a7,0,true
110.688310,124.659141,Aldoc,54,false
110.629243,66.362197,Aldoc,30,false
70.297805,123.919844,Gad1,52,false
103.373594,49.729840,Gad1,22,false
124.697856,122.548321,Gad1,55,false
51.498817,50.256310,Gad1,19,false
9.393904,28.688316,Ttr,9,false
108.481233,27.480927,Slc17a7,14,false
87.486768,89.834306,Gad1,37,false
8.738612,144.630555,Aldoc,57,false
69.864407,52.439585,Slc17a7,20,false
35.590294,28.653446,Gad1,10,false
72.174786,87.598300,Slc17a7,36,false
31.910837,21.141402,Pdgfra,0,true
0.800154,61.942769,Aldoc,0,true
31.190834,29.066205,Slc17a7,10,false
51.319262,53.169860,Gad1,19,false
47.879794,29.781163,Slc17a7,11,false
66.688848,146.148283,Aldoc,60,false
130.759488,106.869177,Ttr,47,false
103.658113,122.460567,Pdgfra,54,false
143.119999,85.228338,Sox10,40,false
123.719999,91.240758,Ttr,39,false
127.311793,102.436907,Slc17a7,47,false
88.761990,106.350943,Aldoc,45,false
153.656047,11.938499,Slc17a7,8,false
128.003751,28.730829,Aldoc,15,false
13.056625,104.825243,Ttr,0,true
149.226190,71.462452,Aldoc,0,true
50.966835,69.435503,Gad1,27,false
71.757623,40.232923,Pdgfra,0,true
104.003367,27.678054,Slc17a7,14,false
47.718544,7.276125,Aldoc,3,false
12.361524,69.353733,Pdgfra,25,false
9.138423,71.599935,Gad1,25,false
85.939049,106.306974,Aldoc,45,false
50.782243,32.641177,Ttr,11,false
50.853802,90.213292,Slc17a7,35,false
43.215137,152.426323,Pdgfra,59,false
29.416630,25.573368,Aldoc,10,false
5.714182,140.016908,Aldoc,0,true
12.979021,105.520966,Ttr,41,false
70.944483,86.608787,Aldoc,36,false
71.075851,129.827914,Sox10,52,false
146.197215,14.118125,Slc17a7,8,false
70.381791,13.140467,Gad1,4,false
66.417074,28.761165,Pdgfra,12,false
69.240722,70.918497,Slc17a7,28,false
100.022337,12.028468,Sox10,6,false
49.846735,29.534531,Slc17a7,11,false
30.233376,87.018796,Gad1,34,false
92.390443,123.730246,Aldoc,53,false
88.606608,14.308956,Slc17a7,5,false
31.301975,106.467535,Pdgfra,42,false
50.926101,51.605739,Ttr,19,false
50.918673,47.383371,Gad1,19,false
8.729973,86.711505,Gad1,33,false
143.821258,11.511762,Slc17a7,8,false
51.565971,12.040706,Aldoc,3,false
29.988196,123.317447,Slc17a7,50,false
53.887192,13.068351,Aldoc,3,false
87.025635,88.318964,Aldoc,37,false
142.354947,108.281055,Sox10,48,false
19.538931,81.772169,Sox10,0,true
53.295204,107.010863,Gad1,43,false
69.156962,31.666641,Aldoc,12,false
123.478124,124.736060,Gad1,55,false
11.873467,67.427162,Gad1,25,false
46.430714,106.423032,Pdgfra,43,false
53.503477,126.001649,Sox10,51,false
128.424457,11.794976,Ttr,7,false
145.698183,84.764718,Gad1,40,false
31.784332,112.152525,Aldoc,42,false
30.021092,12.212137,Slc17a7,2,false
84.121196,8.794043,Slc17a7,5,false
88.433771,101.929230,Aldoc,45,false
124.356019,91.036242,Pdgfra,39,false
145.003803,72.540993,Slc17a7,32,false
11.103333,143.995812,Aldoc,57,false
66.032202,34.193336,Sox10,12,false
89.711611,105.462038,Aldoc,45,false
122.696918,84.653978,Pdgfra,39,false
25.536465,10.386527,Slc17a7,2,false
110.302463,0.209796,Slc17a7,0,true
106.729111,108.252756,Gad1,46,false
147.118494,69.638111,Slc17a7,32,false
50.160006,87.882041,Slc17a7,35,false
50.357080,27.967809,Slc17a7,11,false
12.920021,125.861444,Pdgfra,49,false
125.283533,74.885051,Gad1,31,false
37.110196,128.122920,Ttr,0,true
154.087917,129.550260,Pdgfra,56,false
24.444725,15.019347,Pdgfra,2,false
28.367550,105.197940,Aldoc,42,false
33.915481,109.346185,Aldoc,42,false
144.236150,126.930160,Slc17a7,56,false
