x,y,gene,cell_truth,is_noise_truth,molecule_id,confidence,cluster,cell,assignment_confidence,is_noise,ncv_color
35.746893,110.016547,Ttr,42,false,1,0.986,1,CR9f3683203-27,1.0,false,#0082FF
8.98997,102.414906,Pdgfra,41,false,2,0.98683,3,CR9f3683203-17,1.0,false,#009C9A
70.720881,51.261216,Slc17a7,20,false,3,0.99166,3,CR9f3683203-19,1.0,false,#005000
108.224866,89.319342,Slc17a7,38,false,4,0.99184,3,CR9f3683203-44,1.0,false,#FA0069
110.107761,102.687924,Gad1,46,false,5,0.98213,2,CR9f3683203-54,1.0,false,#5D8212
85.416195,126.246803,Sox10,53,false,6,0.99043,3,CR9f3683203-52,1.0,false,#005000
129.809683,12.014981,Ttr,7,false,7,0.99024,2,CR9f3683203-24,1.0,false,#00608F
87.736764,105.707244,Ttr,45,false,8,0.99154,3,CR9f3683203-47,1.0,false,#0082FF
89.648881,10.440628,Slc17a7,5,false,9,0.99172,3,CR9f3683203-11,1.0,false,#5F91FC
15.619718,80.517853,Sox10,0,true,10,5.0e-5,1,CR9f3683203-14,0.84,false,#008F7E
107.515915,31.099162,Slc17a7,14,false,11,0.99112,3,CR9f3683203-26,1.0,false,#5E93FD
45.659557,48.270892,Gad1,19,false,12,0.91976,2,CR9f3683203-15,1.0,false,#00BA4F
34.817401,103.627931,Aldoc,42,false,13,0.96256,3,CR9f3683203-27,1.0,false,#008E7C
120.509501,35.060042,Gad1,0,true,14,0.9659,2,CR9f3683203-34,1.0,false,#86A5C7
84.589144,128.667305,Slc17a7,53,false,15,0.82816,3,CR9f3683203-52,1.0,false,#005F94
135.920417,35.040616,Aldoc,0,true,16,0.0,1,,0.92,true,#00A1FF
129.766349,53.448621,Pdgfra,23,false,17,0.05048,3,CR9f3683203-38,1.0,false,#00A2FF
12.613041,62.171332,Gad1,25,false,18,0.06403,2,CR9f3683203-8,0.98,false,#C74A00
65.70701,13.521679,Ttr,4,false,19,0.99163,2,CR9f3683203-7,1.0,false,#84A8CC
65.017621,146.096631,Sox10,0,true,20,0.99137,3,CR9f3683203-53,1.0,false,#BA7D9A
82.954956,100.840611,Aldoc,0,true,21,0.00012,1,CR9f3683203-47,0.94,false,#D38AF8
89.646491,89.333855,Gad1,37,false,22,0.9911,2,CR9f3683203-42,1.0,false,#F0CF65
145.627931,9.624271,Aldoc,8,false,23,0.99139,3,CR9f3683203-32,1.0,false,#954680
45.493833,108.369611,Gad1,43,false,24,0.9904,2,CR9f3683203-29,1.0,false,#B94B1F
67.276187,72.338007,Gad1,28,false,25,0.99182,2,CR9f3683203-22,1.0,false,#5B89F7
49.975496,51.178945,Gad1,19,false,26,0.99164,2,CR9f3683203-15,1.0,false,#58462D
15.359145,99.072038,Aldoc,41,false,27,0.00042,1,CR9f3683203-14,0.56,false,#66810B
127.015761,29.347831,Aldoc,15,false,28,0.99181,1,CR9f3683203-34,1.0,false,#783A2E
142.735776,11.744517,Slc17a7,8,false,29,0.9901,3,CR9f3683203-32,1.0,false,#003A81
70.146431,142.658831,Pdgfra,60,false,30,0.99187,3,CR9f3683203-53,1.0,false,#00A2FF
7.929307,47.548708,Ttr,17,false,31,0.99011,3,CR9f3683203-4,1.0,false,#2E2185
46.835292,109.873665,Gad1,43,false,32,0.98507,2,CR9f3683203-29,1.0,false,#7A2C00
26.466783,13.983015,Slc17a7,2,false,33,0.98885,3,CR9f3683203-2,1.0,false,#006EFD
144.133004,13.861494,Slc17a7,8,false,34,0.99075,3,CR9f3683203-32,1.0,false,#005F8A
33.148206,91.764754,Gad1,34,false,35,0.98043,2,CR9f3683203-21,1.0,false,#002E9A
17.0943,145.191307,Aldoc,57,false,36,0.95802,1,CR9f3683203-36,1.0,false,#00452A
34.490882,72.254325,Slc17a7,26,false,37,0.9826,3,CR9f3683203-13,1.0,false,#006DFC
84.108674,15.157527,Slc17a7,5,false,38,0.93813,3,CR9f3683203-11,1.0,false,#005F8F
80.763364,58.622961,Pdgfra,0,true,39,0.0,3,,1.0,true,#AA7B5C
29.245221,72.59174,Slc17a7,26,false,40,0.99075,3,CR9f3683203-13,1.0,false,#5F0025
123.553555,48.218919,Gad1,23,false,41,0.99166,3,CR9f3683203-38,1.0,false,#696800
89.617613,86.996942,Gad1,37,false,42,0.99184,2,CR9f3683203-42,1.0,false,#FE0076
125.201675,123.509202,Sox10,55,false,43,0.99183,2,CR9f3683203-58,1.0,false,#371500
29.934787,30.386268,Aldoc,10,false,44,0.99101,2,CR9f3683203-5,1.0,false,#00462C
129.198208,67.335932,Gad1,31,false,45,0.98919,2,CR9f3683203-49,1.0,false,#002F9C
95.519333,7.826685,Slc17a7,0,true,46,1.0e-5,3,CR9f3683203-11,0.76,false,#005F91
73.560188,146.570174,Ttr,60,false,47,0.9832,3,CR9f3683203-53,1.0,false,#FF007E
51.454569,67.688185,Sox10,27,false,48,0.98981,1,CR9f3683203-16,1.0,false,#4F4B31
91.626002,31.132547,Ttr,13,false,49,0.98883,2,CR9f3683203-20,1.0,false,#004B00
71.988778,75.041109,Gad1,0,true,50,0.00157,2,CR9f3683203-22,1.0,false,#FA006B
69.995837,107.367437,Gad1,44,false,51,0.99181,3,CR9f3683203-40,1.0,false,#006DFE
131.093278,127.18759,Aldoc,55,false,52,0.0578,1,CR9f3683203-58,1.0,false,#1B5171
66.254846,145.971899,Sox10,60,false,53,0.99162,3,CR9f3683203-53,1.0,false,#BB7D9A
129.987116,86.783587,Aldoc,39,false,54,0.97985,3,CR9f3683203-50,1.0,false,#00C6DB
48.83686,87.160102,Slc17a7,0,true,55,0.99151,3,CR9f3683203-23,1.0,false,#F3D3BD
103.344589,19.241426,Gad1,6,false,56,0.00294,2,CR9f3683203-18,0.86,false,#004D00
141.431719,84.567741,Gad1,40,false,57,0.99073,2,CR9f3683203-55,1.0,false,#2C2084
103.234038,125.612739,Aldoc,54,false,58,0.9912,3,CR9f3683203-57,1.0,false,#005D7E
128.586006,63.004806,Aldoc,0,true,59,0.10392,1,CR9f3683203-49,1.0,false,#FF0077
10.543707,127.162827,Gad1,49,false,60,0.99155,2,CR9f3683203-28,1.0,false,#00BDFF
49.981775,49.123299,Ttr,19,false,61,0.99154,2,CR9f3683203-15,1.0,false,#005C7A
52.694627,10.703571,Aldoc,3,false,62,0.9918,3,CR9f3683203-6,1.0,false,#E29972
67.584907,13.70574,Gad1,4,false,63,0.99059,2,CR9f3683203-7,1.0,false,#007F26
13.474229,27.043556,Aldoc,9,false,64,0.98567,1,CR9f3683203-3,1.0,false,#D23179
11.291849,28.224751,Sox10,9,false,65,0.99041,1,CR9f3683203-3,1.0,false,#009693
85.782758,123.614779,Sox10,53,false,66,0.99139,3,CR9f3683203-52,1.0,false,#00BEFF
