cell,x,y,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CR9f3683203-1,12.350380535714285,11.464768535714287,2,84,0.6368,1.157,131.9,0.8921,0.9917,0.9404761904761905,50
CR9f3683203-2,29.61978736046512,12.088568441860465,3,86,0.5603,1.332,153.5,0.8766,0.9891,0.9651162790697675,50
CR9f3683203-3,12.442498383720931,31.24086912790698,1,86,0.7811,1.248,110.1,0.9583,0.9972,0.7093023255813954,50
CR9f3683203-4,11.058890551724138,49.31101934482758,3,87,0.774,1.289,112.4,0.9326,0.9949,0.9540229885057471,50
CR9f3683203-5,31.937598058823536,29.91242712941177,2,85,0.6372,1.168,133.4,0.8841,0.9962,0.9764705882352941,50
CR9f3683203-6,49.974285361445794,11.132881373493975,3,83,0.7052,1.171,117.7,0.8984,0.9998,0.6746987951807228,50
CR9f3683203-7,67.88183118823532,12.695968164705883,2,85,0.7149,1.598,118.9,0.9002,0.9984,0.9529411764705882,50
CR9f3683203-8,11.370777977272729,69.29596092045455,2,88,0.7255,1.49,121.3,0.8994,0.9961,0.9545454545454546,50
CR9f3683203-9,30.647880744444446,51.5159275,3,90,0.5618,1.186,160.2,0.8163,0.994,0.9111111111111111,50
CR9f3683203-10,49.57458176190475,31.150594488095244,3,84,0.6457,1.421,130.1,0.8706,0.9995,0.9642857142857143,50
CR9f3683203-11,87.49831801123597,10.713978651685393,3,89,0.7932,1.289,112.2,0.9198,0.9953,0.9325842696629213,50
CR9f3683203-12,68.44100695402298,31.748475850574714,1,87,0.7618,1.274,114.2,0.9035,0.9991,0.9080459770114943,50
CR9f3683203-13,31.550994469879523,70.34125680722892,3,83,0.7801,1.355,106.4,0.9331,0.9998,0.9518072289156626,50
CR9f3683203-14,12.42649754117647,88.86244782352941,1,85,0.5078,1.717,167.4,0.8786,0.9833,0.9764705882352941,50
CR9f3683203-15,50.82750603703704,49.89380043209877,2,81,0.7507,1.312,107.9,0.9314,0.9963,0.9259259259259259,50
CR9f3683203-16,50.13108047058825,66.86531364705883,1,85,0.6641,2.379,128.0,0.8836,0.9932,0.9764705882352941,50
CR9f3683203-17,11.53599045348837,106.07515795348839,3,86,0.8301,1.377,103.6,0.938,0.9988,1.0,50
CR9f3683203-18,106.25214251648352,12.146654604395602,3,91,0.5593,1.24,162.7,0.872,0.9844,0.8791208791208791,50
CR9f3683203-19,69.75224125000001,50.09249928409092,3,88,0.6345,1.393,138.7,0.9047,0.9955,0.9659090909090909,50
CR9f3683203-20,87.8388338235294,31.09967108235294,2,85,0.7149,1.42,118.9,0.9103,0.9979,0.9411764705882353,50
CR9f3683203-21,30.942110156626498,88.2623494939759,2,83,0.8915,1.288,93.1,0.9528,0.9952,0.963855421686747,50
CR9f3683203-22,67.62481854545454,69.41325867045454,2,88,0.7713,1.069,114.1,0.916,0.9993,0.9204545454545454,50
CR9f3683203-23,51.06642191666666,87.7169880595238,3,84,1.03,1.314,81.54,0.958,1.0,1.0,50
CR9f3683203-24,126.32526752941178,13.246412188235295,2,85,0.6933,1.181,122.6,0.8749,0.9953,0.9411764705882353,50
CR9f3683203-25,87.84904037647057,50.154778341176474,3,85,0.8134,1.138,104.5,0.9172,0.9993,0.6941176470588235,50
CR9f3683203-26,108.47160590476192,31.215669357142854,3,84,0.9119,1.15,92.12,0.9599,0.9998,0.9880952380952381,50
CR9f3683203-27,32.25128644047619,107.5299656904762,3,84,0.8375,1.222,100.3,0.9217,0.9998,0.7619047619047619,50
CR9f3683203-28,12.39436988095238,125.97459075000002,2,84,0.7829,1.265,107.3,0.896,1.0,0.9285714285714286,50
CR9f3683203-29,48.95661865060241,105.74332265060244,2,83,0.6213,1.105,133.6,0.8786,0.999,0.963855421686747,50
CR9f3683203-30,69.35436506976744,88.04252956976744,3,86,0.4684,1.35,183.6,0.8812,0.9763,0.8023255813953488,50
CR9f3683203-31,31.542932302325585,126.89930079069768,3,86,0.589,1.489,146.0,0.8706,0.9902,1.0,50
CR9f3683203-32,144.70231049999998,10.626412093023255,3,86,0.7584,1.23,113.4,0.9181,0.994,0.9534883720930233,50
CR9f3683203-33,107.5613466097561,50.228375865853664,2,82,0.6426,1.657,127.6,0.9287,0.9905,0.975609756097561,50
CR9f3683203-34,124.86025509090909,31.509000454545454,1,88,0.6533,1.221,134.7,0.9041,0.9986,0.9204545454545454,50
CR9f3683203-35,89.4488827125,68.135529225,3,80,0.9062,1.26,88.28,0.9281,1.0,0.975,50
CR9f3683203-36,12.881339265060241,145.69477075903615,3,83,0.7437,1.199,111.6,0.8895,0.9981,0.5301204819277109,50
CR9f3683203-37,48.70491078651685,125.4839360786517,3,89,0.6768,1.359,131.5,0.9258,0.9915,0.7528089887640449,50
CR9f3683203-38,124.85731520238096,49.55067629761904,3,84,0.8268,1.205,101.6,0.9365,0.9998,1.0,50
CR9f3683203-39,145.18143730588235,31.928746152941184,2,85,0.5728,1.932,148.4,0.886,0.996,0.9529411764705882,50
CR9f3683203-40,68.0478794494382,107.7705379775281,3,89,0.6193,1.371,143.7,0.8721,0.9863,0.9550561797752809,50
CR9f3683203-41,106.63173951219513,69.14693240243903,3,82,0.7421,1.494,110.5,0.9172,0.9995,0.8048780487804879,50
CR9f3683203-42,88.74246355056181,88.97786316853932,2,89,0.653,1.378,136.3,0.9013,0.9858,0.8539325842696629,50
CR9f3683203-43,32.43298598823529,145.79652525882352,2,85,0.6484,2.391,131.1,0.9159,0.9974,0.9764705882352941,50
CR9f3683203-44,106.42798673563217,87.2519985862069,3,87,0.6576,1.455,132.3,0.8911,0.9901,0.9770114942528736,50
CR9f3683203-45,68.43831368965517,126.23520625287357,2,87,0.6616,1.128,131.5,0.8821,0.9936,0.9080459770114943,50
CR9f3683203-46,145.2138091264368,50.282529770114934,3,87,0.6355,1.492,136.9,0.8742,0.9855,0.896551724137931,50
CR9f3683203-47,88.61612945882354,107.46924376470588,3,85,0.6735,1.503,126.2,0.898,0.9967,0.6,50
CR9f3683203-48,49.950225238636364,145.9302545909091,3,88,0.6069,1.856,145.0,0.9069,0.9841,0.9545454545454546,50
CR9f3683203-49,125.89796773809522,69.90962984523809,2,84,0.8116,2.057,103.5,0.9069,1.0,0.9761904761904762,50
CR9f3683203-50,125.27393099999999,88.06885230681817,3,88,0.7573,1.193,116.2,0.91,0.9991,0.8636363636363636,50
CR9f3683203-51,144.5042438072289,68.9131781686747,3,83,0.9106,1.515,91.15,0.9407,0.9995,1.0,50
CR9f3683203-52,87.97047441860467,124.96607424418602,3,86,0.7537,1.46,114.1,0.9016,0.996,0.9534883720930233,50
CR9f3683203-53,68.98865186904762,144.28196091666666,3,84,0.7836,1.239,107.2,0.939,0.9912,0.8690476190476191,50
CR9f3683203-54,108.45596480952379,105.92802340476192,2,84,0.9072,1.725,92.59,0.9287,1.0,0.9761904761904762,50
CR9f3683203-55,143.931027,86.7706977032967,2,91,0.6609,1.311,137.7,0.8733,0.9905,0.8901098901098901,50
CR9f3683203-56,126.84276322727274,107.13706740909092,3,88,0.7273,1.424,121.0,0.8993,0.9982,0.9659090909090909,50
