label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,equivalent_diameter_area
1,1526.0,125.71231979030144,139.68283093053736,101,121,151,160,44.07906016767892
2,1205.0,126.69460580912863,417.1178423236515,110,395,145,439,39.16955005365611
3,897.0,93.38015607580824,407.05797101449275,76,391,110,425,33.79490896018868
4,1639.0,310.90482001220255,182.7895057962172,288,159,335,208,45.68193968978257
5,1331.0,230.0007513148009,425.26070623591283,207,405,252,445,41.16651350360511
6,1039.0,379.2454282964389,370.6881616939365,360,355,400,388,36.371635747926355
7,1170.0,372.3213675213675,206.1136752136752,351,190,395,223,38.59650589548412
8,785.0,184.90063694267516,127.31210191082802,169,114,202,143,31.614759885488656
9,1583.0,193.63044851547696,94.04548325963361,168,76,220,113,44.89474578740548
10,1206.0,212.3648424543947,58.87396351575456,191,41,234,77,39.1857996084118
11,1407.0,359.23027718550105,303.9637526652452,336,284,383,324,42.32550105364819
12,1122.0,67.66131907308377,208.67201426024957,50,190,86,229,37.796491493164446
13,909.0,331.8074807480748,284.42244224422444,312,269,354,301,34.02021084832166
14,1794.0,280.2391304347826,293.09698996655516,253,272,306,314,47.79321859066286
15,1416.0,356.9837570621469,248.09675141242937,336,228,379,271,42.46065467400368
16,1039.0,193.48411934552453,323.3224254090472,174,307,214,340,36.371635747926355
17,402.0,212.58457711442787,131.6766169154229,202,120,224,144,22.623931952327283
18,1917.0,172.11215440792907,208.18049034950442,147,185,198,233,49.404455338130255
19,1247.0,175.0120288692863,441.30793905372894,154,424,197,460,39.846326208130506
20,1462.0,149.13679890560874,331.6484268125855,125,313,173,352,43.14482836218969
21,1020.0,120.83431372549019,363.1333333333333,105,344,138,383,36.03754064347158
22,1432.0,193.9441340782123,405.9888268156425,170,389,218,427,42.69987152276635
23,1253.0,307.2274541101357,91.59936153232243,287,72,327,112,39.94207242436425
24,1430.0,307.31468531468533,131.18321678321678,285,113,331,151,42.67004275802032
25,998.0,59.243486973947896,159.18637274549098,44,140,75,179,35.64678198162763
26,1202.0,265.36522462562397,138.46256239600666,244,122,288,157,39.1207608920336
27,1455.0,216.3601374570447,251.0233676975945,198,228,236,276,43.04141653790755
28,1476.0,238.859756097561,322.2981029810298,217,299,261,347,43.35091196306141
29,1287.0,260.3729603729604,198.63947163947165,238,182,284,218,40.48035689163516
30,1558.0,161.52053915275994,166.69191270860077,137,146,188,187,44.538828124428505
31,1598.0,405.531914893617,226.50688360450565,383,202,427,252,45.106948383666904
32,1024.0,82.2607421875,275.8056640625,67,256,98,298,36.1081333470564
33,1318.0,319.03338391502274,370.2018209408194,298,349,341,392,40.96498163017951
34,906.0,384.45474613686537,268.15562913907286,368,250,401,287,33.96402549065787
35,312.0,181.53205128205127,57.57051282051282,173,47,191,68,19.931149940667517
36,1055.0,155.25497630331753,372.9165876777251,137,356,176,390,36.6506169074355
37,1228.0,347.4902280130293,143.4739413680782,326,124,368,162,39.54160038408638
38,1272.0,246.47877358490567,77.83569182389937,224,59,269,96,40.2437659880773
39,1045.0,106.10717703349282,330.77703349282297,88,314,125,350,36.47650372840365
40,1190.0,102.10840336134454,193.40420168067226,81,177,126,211,38.92499271977894
41,827.0,92.59733978234583,161.80290205562272,78,146,109,178,32.44948541188257
42,1566.0,282.97190293742017,335.4821200510856,256,317,308,355,44.653030435293694
43,833.0,157.19807923169267,407.3913565426171,141,392,174,424,32.56698544176895
44,1303.0,97.5732924021489,234.3138910207214,80,212,116,257,40.73120581065477
45,1359.0,277.6011773362767,245.68064753495216,260,222,297,269,41.597266031496424
46,1052.0,419.365969581749,267.01615969581746,404,246,435,288,36.59846992787254
47,1271.0,122.42564909520063,296.53501180173095,101,278,146,315,40.22794378735249
48,936.0,340.3942307692308,107.00854700854701,324,89,357,126,34.52176435050956
49,1261.0,389.9896907216495,327.3370340999207,370,306,409,349,40.06937815727916
50,667.0,282.17991004497753,68.06896551724138,269,54,297,84,29.14190756176324
51,590.0,81.90338983050847,352.3593220338983,69,339,96,366,27.408234736913393
52,969.0,217.53560371517028,206.453044375645,202,189,235,225,35.1250497344612
53,1186.0,322.2689713322091,224.63827993254637,301,207,343,242,38.85951749643713
54,824.0,273.18932038834953,104.7123786407767,258,88,289,121,32.390575556198044
55,1025.0,312.1160975609756,259.52585365853656,293,243,332,277,36.12575996921783
56,994.0,393.35613682092554,178.41348088531188,376,161,411,197,35.575273821388244
57,1201.0,245.90174854288094,273.2722731057452,226,252,266,295,39.1044843109704
58,1072.0,238.107276119403,386.65485074626866,217,371,264,401,36.94472617243352
59,1361.0,203.19103600293903,160.73548861131522,178,142,227,182,41.62786350972815
60,1234.0,344.9003241491086,341.9578606158833,322,325,367,360,39.63808267566925
61,871.0,355.7370838117107,175.14006888633753,337,160,374,190,33.30152614317138
62,521.0,204.32245681381957,376.7063339731286,190,365,219,388,25.75573339679963
63,1051.0,233.93054234062797,112.43387250237869,215,95,253,130,36.581071082141044
64,645.0,159.5937984496124,113.49302325581395,146,100,175,128,28.65727667372076
65,2962.0,169.46758946657664,279.00877785280215,139,249,201,310,61.41120037505823
66,811.0,182.11713933415535,354.63501849568433,166,338,198,372,32.13405157741889
67,908.0,245.88325991189427,230.48017621145374,231,213,262,249,34.00149271163735
68,800.0,245.17375,166.035,228,152,262,181,31.915382432114615
69,554.0,399.38808664259926,292.90072202166067,386,280,413,306,26.558891313141824
70,862.0,269.800464037123,414.6078886310905,254,398,288,431,33.12902786925252
71,1119.0,134.69436997319036,251.2135835567471,116,235,156,271,37.7459276023076
72,1182.0,287.59052453468695,385.4602368866328,270,364,307,408,38.79393176615336
73,441.0,186.84580498866214,239.0907029478458,174,228,200,250,23.695962509005764
74,880.0,318.5295454545454,316.24204545454546,301,300,336,333,33.47313548753602
75,863.0,213.69756662804173,295.6326767091541,198,279,230,314,33.14823867276277
76,452.0,339.216814159292,197.93141592920355,328,186,351,210,23.98967015655475
77,636.0,211.82704402515722,351.20911949685535,199,337,226,367,28.456639830653998
78,876.0,130.65867579908675,216.04337899543378,116,197,145,235,33.396973533360814
79,711.0,278.929676511955,168.86075949367088,264,155,294,184,30.087760240780646
80,373.0,107.71849865951742,267.9115281501341,99,257,119,280,21.792621462004423
81,529.0,291.54442344045367,216.57088846880907,278,205,306,229,25.95272084319679
82,451.0,236.85144124168514,359.2572062084257,225,348,250,371,23.96311821686732
83,281.0,78.24555160142349,139.89679715302492,69,131,89,150,18.91508160359296
84,473.0,124.82875264270614,172.96828752642705,111,163,138,185,24.54062559633988
85,254.0,348.50787401574803,383.4527559055118,340,375,358,393,17.983404693292407
86,304.0,231.17434210526315,185.06578947368422,220,176,242,195,19.67396303746374
87,147.0,315.29931972789115,339.2857142857143,310,333,322,347,13.680870333281758
88,213.0,298.76525821596243,415.07511737089203,291,407,307,424,16.46815177937675
89,224.0,373.7142857142857,127.16964285714286,366,119,382,137,16.88803298257901
90,426.0,233.3755868544601,142.96713615023475,222,132,245,155,23.28948359361322
91,171.0,162.42690058479533,240.57309941520467,155,235,171,248,14.755472278097805
92,201.0,427.29353233830847,202.30348258706468,419,195,436,211,15.99753570059363
93,317.0,255.26813880126184,349.5362776025237,246,340,266,360,20.090219901261573
94,230.0,198.5304347826087,223.3521739130435,191,215,208,232,17.112717355495807
95,103.0,371.58252427184465,348.5728155339806,366,343,378,355,11.451797811161432
